fecha,Y_rend_soberano_10a
2011-01-03,5.879
2011-01-04,5.836
2011-01-05,5.855
2011-01-06,5.855
2011-01-07,5.811
2011-01-10,5.811
2011-01-11,5.824
2011-01-12,5.83
2011-01-13,5.824
2011-01-14,5.824
2011-01-17,5.827
2011-01-18,5.828
2011-01-19,5.827
2011-01-20,5.844
2011-01-21,5.864
2011-01-24,5.872
2011-01-25,5.881
2011-01-26,5.872
2011-01-27,5.87
2011-01-28,5.869
2011-01-31,5.869
2011-02-01,5.883
2011-02-02,5.932
2011-02-03,5.938
2011-02-04,5.943
2011-02-07,5.999
2011-02-08,5.998
2011-02-09,5.975
2011-02-10,5.978
2011-02-11,5.979
2011-02-14,5.992
2011-02-15,6.076
2011-02-16,6.042
2011-02-17,6.018
2011-02-18,5.999
2011-02-21,6.006
2011-02-22,6.039
2011-02-23,6.052
2011-02-24,6.155
2011-02-25,6.166
2011-02-28,6.149
2011-03-01,6.196
2011-03-02,6.262
2011-03-03,6.255
2011-03-04,6.259
2011-03-07,6.304
2011-03-08,6.224
2011-03-09,6.236
2011-03-10,6.238
2011-03-11,6.214
2011-03-14,6.193
2011-03-15,6.2
2011-03-16,6.237
2011-03-17,6.246
2011-03-18,6.252
2011-03-21,6.309
2011-03-22,6.426
2011-03-23,6.417
2011-03-24,6.471
2011-03-25,6.514
2011-03-28,6.555
2011-03-29,6.64
2011-03-30,6.7445
2011-03-31,6.73423076923077
2011-04-01,6.72357142857143
2011-04-04,6.76666666666667
2011-04-05,6.73333333333333
2011-04-06,6.69333333333333
2011-04-07,6.62958333333334
2011-04-08,6.59058823529412
2011-04-11,6.60833333333333
2011-04-12,6.695
2011-04-13,6.78625
2011-04-14,7.01888888888889
2011-04-15,7.10666666666667
2011-04-18,7.16333333333333
2011-04-19,7.18875
2011-04-20,7.2
2011-04-21,
2011-04-22,
2011-04-25,7.2075
2011-04-26,7.2475
2011-04-27,7.349
2011-04-28,7.19533333333333
2011-04-29,7.03428571428571
2011-05-02,
2011-05-03,6.95185185185185
2011-05-04,6.79179130434783
2011-05-05,6.80032857142857
2011-05-06,6.73
2011-05-09,6.614
2011-05-10,6.745
2011-05-11,6.82909090909091
2011-05-12,6.74754285714286
2011-05-13,6.6879641025641
2011-05-16,6.72
2011-05-17,6.715
2011-05-18,6.67666666666667
2011-05-19,6.719
2011-05-20,6.7
2011-05-23,6.69363636363636
2011-05-24,6.7
2011-05-25,6.68571428571429
2011-05-26,6.65222222222222
2011-05-27,6.6394
2011-05-30,6.7
2011-05-31,6.67333333333333
2011-06-01,6.7
2011-06-02,6.588
2011-06-03,6.54125
2011-06-06,6.80851851851852
2011-06-07,6.67666666666667
2011-06-08,6.536
2011-06-09,6.51
2011-06-10,6.42
2011-06-13,6.40285714285714
2011-06-14,6.458
2011-06-15,6.44
2011-06-16,6.46
2011-06-17,6.385
2011-06-20,6.38
2011-06-21,6.32444444444445
2011-06-22,6.3
2011-06-23,6.33
2011-06-24,6.379
2011-06-27,6.3
2011-06-28,6.369
2011-06-29,
2011-06-30,6.30166666666667
2011-07-01,6.25666666666667
2011-07-04,6.309
2011-07-05,6.22
2011-07-06,6.2
2011-07-07,6.23166666666667
2011-07-08,6.289
2011-07-11,6.27
2011-07-12,6.27416666666667
2011-07-13,6.25
2011-07-14,6.25
2011-07-15,6.25
2011-07-18,6.24105263157895
2011-07-19,6.23666666666667
2011-07-20,6.2165
2011-07-21,6.2
2011-07-22,6.2101
2011-07-25,6.20333333333333
2011-07-26,6.19
2011-07-27,6.19083333333333
2011-07-28,
2011-07-29,
2011-08-01,6.139059375
2011-08-02,6.085
2011-08-03,6.09428571428572
2011-08-04,6.11290322580645
2011-08-05,6.124
2011-08-08,6.12232222222222
2011-08-09,6.124
2011-08-10,6.068
2011-08-11,6.015
2011-08-12,5.9903705882353
2011-08-15,5.97818181818182
2011-08-16,5.98
2011-08-17,5.94923076923077
2011-08-18,5.9021052631579
2011-08-19,5.868
2011-08-22,5.801
2011-08-23,5.71958333333333
2011-08-24,5.64571428571429
2011-08-25,5.60789473684211
2011-08-26,5.642
2011-08-29,
2011-08-30,
2011-08-31,5.53058823529412
2011-09-01,5.53727272727273
2011-09-02,5.506
2011-09-05,5.44761904761905
2011-09-06,5.41166666666667
2011-09-07,5.4025
2011-09-08,5.41
2011-09-09,5.38205128205128
2011-09-12,5.4225
2011-09-13,5.455
2011-09-14,5.4955
2011-09-15,5.55441176470588
2011-09-16,5.63875
2011-09-19,5.68058823529412
2011-09-20,5.67545454545455
2011-09-21,5.73
2011-09-22,5.925
2011-09-23,5.82576923076923
2011-09-26,5.8
2011-09-27,5.754375
2011-09-28,5.868
2011-09-29,5.863125
2011-09-30,5.85833333333333
2011-10-03,5.929
2011-10-04,5.87833333333333
2011-10-05,5.86416666666667
