fecha,coloc_sector_privado
2011-01-01,446.58
2011-02-01,0.0
2011-03-01,97.828
2011-04-01,624.0
2011-05-01,166.71866
2011-06-01,6.8475
2011-07-01,73.49824
2011-08-01,100.0
2011-09-01,177.51537
2011-10-01,355.110453125
2011-11-01,283.5
2011-12-01,513.1147
2012-01-01,80.76
2012-02-01,294.0876
2012-03-01,50.0
2012-04-01,394.45928
2012-05-01,340.0
2012-06-01,267.9
2012-07-01,448.97549
2012-08-01,140.0
2012-09-01,7.7272
2012-10-01,719.26252
2012-11-01,344.14
2012-12-01,229.6663
2013-01-01,250.0
2013-02-01,293.54285
2013-03-01,224.4
2013-04-01,197.3668688
2013-05-01,138.90836
2013-06-01,60.0
2013-07-01,693.96635
2013-08-01,187.52
2013-09-01,437.573
2013-10-01,371.65145
2013-11-01,265.4196
2013-12-01,575.9648
2014-01-01,30.0
2014-02-01,327.5632
2014-03-01,28.1
2014-04-01,319.947
2014-05-01,254.405
2014-06-01,298.95
2014-07-01,243.722
2014-08-01,20.0
2014-09-01,422.15
2014-10-01,0.0
2014-11-01,93.8
2014-12-01,243.438
2015-01-01,750.05
2015-02-01,290.0
2015-03-01,0.0
2015-04-01,463.76865
2015-05-01,533.9
2015-06-01,218.4767
2015-07-01,633.0
2015-08-01,0.0
2015-09-01,223.786
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,444.41584
2016-01-01,3.9905
2016-02-01,11.42944
2016-03-01,360.51742
2016-04-01,450.75
2016-05-01,230.0
2016-06-01,812.5662
2016-07-01,448.97216
2016-08-01,296.42041
2016-09-01,228.257
2016-10-01,1007.60004
2016-11-01,138.41
2016-12-01,15.0
2017-01-01,576.274
2017-02-01,212.45
2017-03-01,519.87
2017-04-01,390.9236
2017-05-01,0.0
2017-06-01,583.5
2017-07-01,431.561
2017-08-01,30.5856
2017-09-01,621.2798
2017-10-01,181.8
2017-11-01,632.688
2017-12-01,405.88744
2018-01-01,1.91
2018-02-01,200.0
2018-03-01,119.61256
2018-04-01,107.0635
2018-05-01,675.041
2018-06-01,402.10557
2018-07-01,826.13349
2018-08-01,140.8365
2018-09-01,155.0
2018-10-01,599.34
2018-11-01,341.05
2018-12-01,0.0
2019-01-01,677.335
2019-02-01,98.698
2019-03-01,150.0
2019-04-01,178.685
2019-05-01,130.0
2019-06-01,26.52398
2019-07-01,469.31
2019-08-01,174.0348
2019-09-01,573.46692
2019-10-01,485.8329
2019-11-01,397.6626
2019-12-01,116.41
2020-01-01,0.0
2020-02-01,82.64045
2020-03-01,13.76
2020-04-01,0.0
2020-05-01,3.25507
2020-06-01,0.0
2020-07-01,0.9531
2020-08-01,0.0
2020-09-01,118.8
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,592.55
2021-01-01,0.0
2021-02-01,32.3828
2021-03-01,225.0
2021-04-01,108.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,19.32199
2022-01-01,0.0
2022-02-01,157.92
2022-03-01,28.86687
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,220.8
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,175.0
2024-01-01,0.0
2024-02-01,22.5855
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,133.2074
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,110.0
2024-11-01,107.6475
2024-12-01,101.131
2025-01-01,1.8414
2025-02-01,1.9136
2025-03-01,166.85639
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,24.78
2025-07-01,0.0
2025-08-01,162.551
2025-09-01,0.0
2025-10-01,65.33082
2025-11-01,0.0
2025-12-01,371.2
