Fecha,Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en S/)
13May05,9.35
16May05,9.30
17May05,9.30
18May05,9.30
19May05,9.30
20May05,9.30
23May05,9.30
24May05,9.30
25May05,9.24
26May05,9.24
27May05,9.24
30May05,9.24
31May05,9.02
01Jun05,8.90
02Jun05,n.d.
03Jun05,9.13
06Jun05,9.10
07Jun05,8.75
08Jun05,8.98
09Jun05,8.70
10Jun05,8.93
13Jun05,8.89
14Jun05,8.69
15Jun05,8.84
16Jun05,8.81
17Jun05,8.83
20Jun05,8.81
21Jun05,8.68
22Jun05,8.63
23Jun05,8.51
24Jun05,8.43
27Jun05,8.61
28Jun05,8.30
29Jun05,n.d.
30Jun05,8.25
01Jul05,8.42
04Jul05,8.40
05Jul05,8.40
06Jul05,8.35
07Jul05,8.36
08Jul05,8.64
11Jul05,8.41
12Jul05,8.36
13Jul05,8.20
14Jul05,8.12
15Jul05,8.12
18Jul05,8.12
19Jul05,7.80
20Jul05,7.80
21Jul05,7.84
22Jul05,7.85
25Jul05,7.90
26Jul05,7.90
27Jul05,7.90
28Jul05,n.d.
29Jul05,n.d.
01Ago05,7.90
02Ago05,7.90
03Ago05,7.80
04Ago05,7.80
05Ago05,7.80
08Ago05,7.62
09Ago05,7.63
10Ago05,7.63
11Ago05,7.60
12Ago05,7.60
15Ago05,n.d.
16Ago05,7.60
17Ago05,7.55
18Ago05,7.55
19Ago05,7.55
22Ago05,7.55
23Ago05,7.55
24Ago05,7.55
25Ago05,7.55
26Ago05,7.55
29Ago05,7.55
30Ago05,n.d.
31Ago05,7.55
01Set05,7.55
02Set05,7.55
05Set05,n.d.
06Set05,n.d.
07Set05,7.55
08Set05,7.55
09Set05,7.40
12Set05,7.40
13Set05,7.40
14Set05,7.40
15Set05,7.20
16Set05,7.20
19Set05,7.20
20Set05,7.20
21Set05,7.20
22Set05,7.20
23Set05,7.20
26Set05,7.20
27Set05,7.20
28Set05,7.20
29Set05,7.20
30Set05,7.20
03Oct05,7.20
04Oct05,7.20
05Oct05,7.20
06Oct05,7.20
07Oct05,7.20
10Oct05,7.20
11Oct05,7.20
12Oct05,7.20
13Oct05,7.20
14Oct05,7.20
17Oct05,n.d.
18Oct05,7.20
19Oct05,7.20
20Oct05,7.79
21Oct05,7.79
24Oct05,7.79
25Oct05,7.79
26Oct05,7.79
27Oct05,7.79
28Oct05,7.79
31Oct05,7.79
01Nov05,n.d.
02Nov05,7.79
03Nov05,7.73
04Nov05,7.73
07Nov05,7.73
08Nov05,7.73
09Nov05,7.70
10Nov05,7.70
11Nov05,7.70
14Nov05,7.70
15Nov05,7.70
16Nov05,7.65
17Nov05,7.65
18Nov05,7.60
21Nov05,7.60
22Nov05,7.60
23Nov05,7.60
24Nov05,7.60
25Nov05,7.51
28Nov05,7.53
29Nov05,7.57
30Nov05,7.57
01Dic05,7.57
02Dic05,n.d.
05Dic05,7.57
06Dic05,n.d.
07Dic05,n.d.
08Dic05,n.d.
09Dic05,7.57
12Dic05,7.57
13Dic05,7.57
14Dic05,n.d.
15Dic05,7.57
16Dic05,7.57
19Dic05,n.d.
20Dic05,8.20
21Dic05,8.20
22Dic05,8.20
23Dic05,8.20
26Dic05,8.20
27Dic05,n.d.
28Dic05,8.35
29Dic05,n.d.
30Dic05,8.35
02Ene06,n.d.
03Ene06,8.20
04Ene06,8.20
05Ene06,8.20
06Ene06,8.20
09Ene06,8.28
10Ene06,8.28
11Ene06,8.28
12Ene06,8.28
13Ene06,8.28
16Ene06,8.28
17Ene06,8.28
18Ene06,8.20
19Ene06,8.14
20Ene06,8.16
23Ene06,8.15
24Ene06,8.09
25Ene06,8.06
26Ene06,7.87
27Ene06,7.92
30Ene06,7.87
31Ene06,7.93
01Feb06,7.88
02Feb06,7.70
03Feb06,7.67
06Feb06,7.67
07Feb06,7.67
08Feb06,7.67
09Feb06,7.64
10Feb06,7.50
13Feb06,7.45
14Feb06,7.45
15Feb06,7.37
16Feb06,7.35
17Feb06,7.35
20Feb06,n.d.
21Feb06,7.35
22Feb06,7.35
23Feb06,7.35
24Feb06,7.25
27Feb06,7.25
28Feb06,7.25
01Mar06,7.25
02Mar06,7.25
03Mar06,7.25
06Mar06,7.55
07Mar06,7.55
08Mar06,7.59
09Mar06,7.55
10Mar06,7.55
13Mar06,n.d.
14Mar06,7.55
15Mar06,7.55
16Mar06,7.55
17Mar06,7.55
20Mar06,7.55
21Mar06,7.55
22Mar06,7.95
23Mar06,8.05
24Mar06,8.01
27Mar06,8.01
28Mar06,8.01
29Mar06,7.98
30Mar06,8.00
31Mar06,8.00
03Abr06,8.00
04Abr06,8.00
05Abr06,8.06
06Abr06,8.07
07Abr06,8.06
10Abr06,8.00
11Abr06,8.00
12Abr06,7.97
