fecha,coloc_corporativos
2011-01-01,180.66
2011-02-01,0.0
2011-03-01,60.0
2011-04-01,0.0
2011-05-01,102.23666
2011-06-01,0.0
2011-07-01,50.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,187.110453125
2011-11-01,94.5
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,187.87
2012-03-01,0.0
2012-04-01,40.0
2012-05-01,110.0
2012-06-01,0.0
2012-07-01,66.15
2012-08-01,140.0
2012-09-01,0.0
2012-10-01,511.42
2012-11-01,144.14
2012-12-01,77.1
2013-01-01,50.0
2013-02-01,103.205
2013-03-01,120.0
2013-04-01,50.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,97.5
2013-09-01,0.0
2013-10-01,82.8
2013-11-01,110.0
2013-12-01,143.46
2014-01-01,0.0
2014-02-01,84.57
2014-03-01,0.0
2014-04-01,219.947
2014-05-01,0.0
2014-06-01,298.95
2014-07-01,56.0
2014-08-01,0.0
2014-09-01,422.15
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,116.1
2015-01-01,561.45
2015-02-01,290.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,502.3
2015-06-01,153.02
2015-07-01,533.0
2015-08-01,0.0
2015-09-01,151.175
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,363.99419
2016-01-01,3.9905
2016-02-01,0.0
2016-03-01,339.97465
2016-04-01,0.0
2016-05-01,130.0
2016-06-01,512.5662
2016-07-01,436.1
2016-08-01,296.42041
2016-09-01,0.0
2016-10-01,712.405
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,162.45
2017-03-01,399.87
2017-04-01,371.84
2017-05-01,0.0
2017-06-01,553.5
2017-07-01,282.142
2017-08-01,0.0
2017-09-01,560.0
2017-10-01,135.0
2017-11-01,134.238
2017-12-01,183.44644
2018-01-01,0.0
2018-02-01,200.0
2018-03-01,100.0
2018-04-01,107.0635
2018-05-01,132.616
2018-06-01,251.54276
2018-07-01,550.57349
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,487.14
2018-11-01,300.0
2018-12-01,0.0
2019-01-01,570.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,82.8
2019-05-01,130.0
2019-06-01,0.0
2019-07-01,240.0
2019-08-01,5.8548
2019-09-01,343.46692
2019-10-01,170.8249
2019-11-01,182.4072
2019-12-01,19.86
2020-01-01,0.0
2020-02-01,32.64045
2020-03-01,13.76
2020-04-01,0.0
2020-05-01,3.25507
2020-06-01,0.0
2020-07-01,0.9531
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,297.81
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,108.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,19.32199
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,10.08477
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,175.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,110.0
2024-11-01,0.0
2024-12-01,101.131
2025-01-01,1.8414
2025-02-01,1.9136
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
2025-09-01,0.0
2025-10-01,0.0
2025-11-01,0.0
2025-12-01,220.0
