fecha,coloc_sector_privado,coloc_corporativos,coloc_arrendamiento,coloc_titulizacion,saldo_corporativos,saldo_plazo_hasta_3a,saldo_plazo_3a_5a,tasa_referencia,rend_soberano_10a_pen,rend_soberano_10a_usd,embig_peru,tasa_pref_corp_90d_mn,tasa_corp_mas360_mn
2011-01-01,446.58,180.66,13.85,0.0,14150.3921269692,2563.12028666667,3638.65349023792,3.25,5.84628571428571,5.165,145.57143,3.8403,7.20480825212354
2011-02-01,0.0,0.0,0.0,0.0,13902.5720477248,2404.05744666667,3533.23605811922,3.5,6.01595,5.3764,146.1,4.1328,7.35416964181192
2011-03-01,97.828,60.0,37.828,0.0,13887.0879126206,2331.71986666667,3511.96267779347,3.75,6.35333612040134,5.30634782608696,156.78261,4.422,7.45319066124941
2011-04-01,624.0,0.0,0.0,564.0,13803.9439053568,2326.71508,3508.5035870947,4.0,6.94410092633545,5.65989473684211,192.90476,4.9028,7.47291946579307
2011-05-01,166.71866,102.23666,0.0,64.482,13728.9247158523,2159.71871333333,3516.9416891867,4.25,6.72250202228567,5.32847619047619,187.22727,5.3829,7.68962700306516
2011-06-01,6.8475,0.0,6.8475,0.0,13622.903184683,1932.15945833333,3412.31397920721,4.25,6.45763825900731,5.23528571428572,192.36364,5.6209,7.84986533465833
2011-07-01,73.49824,50.0,23.49824,0.0,13530.6812762694,1876.26380333333,3305.56561282868,4.25,6.23626241920591,5.03678947368421,170.85714,5.4194,7.88181011506081
2011-08-01,100.0,0.0,0.0,0.0,13369.2025433705,1808.54498166667,3193.21259318276,4.25,5.92853521749067,4.65814285714286,199.56522,5.3906,7.67811464524686
2011-09-01,177.51537,0.0,6.59537,0.0,13459.7055662834,1716.57365833333,3199.53172694167,4.25,5.62017803787122,4.65722727272727,237.45455,5.317,7.7744779683529
2011-10-01,355.110453125,187.110453125,0.0,0.0,13541.5767315952,1662.274975,3362.62226828456,4.25,5.72483222108669,4.7062,231.95238,5.4037,8.06880722181612
2011-11-01,283.5,94.5,27.0,0.0,13492.4101552576,1683.65741666667,3239.62529111438,4.25,5.66734322961868,4.35095238095238,214.18182,5.1702,8.18429932294086
2011-12-01,513.1147,0.0,23.1147,0.0,13764.6512867794,1731.20163333333,3204.54936949699,4.25,5.6953293398377,4.31715789473684,216.31818,5.3604,8.29255426952091
2012-01-01,80.76,0.0,0.0,80.76,13703.0788557551,1694.87498666667,3200.80050194665,4.25,5.6877609398031,4.34477272727273,219.40909,5.2828,8.25284590289425
2012-02-01,294.0876,187.87,6.2176,0.0,13781.3721322461,1622.19914,3352.44838629626,4.25,5.55203643226112,4.07966666666667,199.2381,5.3,8.27348386309663
2012-03-01,50.0,0.0,0.0,0.0,13608.7734890453,1649.46739833333,3173.11232061254,4.25,5.40746192764249,3.90677272727273,165.59091,5.2513,8.37300111927793
