fecha,tasa_pref_corp_90d_mn
2011-01-01,3.8403
2011-02-01,4.1328
2011-03-01,4.422
2011-04-01,4.9028
2011-05-01,5.3829
2011-06-01,5.6209
2011-07-01,5.4194
2011-08-01,5.3906
2011-09-01,5.317
2011-10-01,5.4037
2011-11-01,5.1702
2011-12-01,5.3604
2012-01-01,5.2828
2012-02-01,5.3
2012-03-01,5.2513
2012-04-01,5.265
2012-05-01,5.1938
2012-06-01,5.1563
2012-07-01,5.1698
2012-08-01,5.1906
2012-09-01,5.1102
2012-10-01,5.0611
2012-11-01,5.0593
2012-12-01,5.0304
2013-01-01,5.0298
2013-02-01,4.8751
2013-03-01,4.6881
2013-04-01,4.4482
2013-05-01,4.3607
2013-06-01,4.4862
2013-07-01,4.7471
2013-08-01,4.6554
2013-09-01,4.7181
2013-10-01,4.7076
2013-11-01,4.5043
2013-12-01,4.4875
2014-01-01,4.4809
2014-02-01,4.7948
2014-03-01,4.9354
2014-04-01,5.0225
2014-05-01,5.0269
2014-06-01,4.9535
2014-07-01,4.7393
2014-08-01,4.6087
2014-09-01,4.4861
2014-10-01,4.4428
2014-11-01,4.4378
2014-12-01,4.6632
2015-01-01,4.4829
2015-02-01,4.1728
2015-03-01,4.1913
2015-04-01,4.3667
2015-05-01,4.4803
2015-06-01,4.1341
2015-07-01,4.1685
2015-08-01,4.483
2015-09-01,4.9268
2015-10-01,4.7596
2015-11-01,4.8417
2015-12-01,4.9317
2016-01-01,4.9884
2016-02-01,5.2324
2016-03-01,5.3779
2016-04-01,5.3769
2016-05-01,5.4266
2016-06-01,5.5167
2016-07-01,5.4174
2016-08-01,5.0871
2016-09-01,4.9469
2016-10-01,4.9397
2016-11-01,4.9515
2016-12-01,5.1925
2017-01-01,5.1127
2017-02-01,5.0111
2017-03-01,4.9649
2017-04-01,4.9442
2017-05-01,4.7097
2017-06-01,4.5507
2017-07-01,4.4816
2017-08-01,4.2758
2017-09-01,3.8977
2017-10-01,3.6451
2017-11-01,3.5737
2017-12-01,3.5602
2018-01-01,3.4641
2018-02-01,3.3265
2018-03-01,3.2356
2018-04-01,3.1521
2018-05-01,3.2427
2018-06-01,3.4706
2018-07-01,3.6566
2018-08-01,3.7944
2018-09-01,3.8758
2018-10-01,3.9819
2018-11-01,4.123
2018-12-01,4.3114
2019-01-01,4.5276
2019-02-01,4.3563
2019-03-01,4.0849
2019-04-01,4.0403
2019-05-01,4.05
2019-06-01,4.0253
2019-07-01,3.9249
2019-08-01,3.7128
2019-09-01,3.5263
2019-10-01,3.4438
2019-11-01,3.3523
2019-12-01,3.2587
2020-01-01,3.2747
2020-02-01,3.1977
2020-03-01,3.0473
2020-04-01,2.3516
2020-05-01,1.4852
2020-06-01,1.0749
2020-07-01,0.9011
2020-08-01,1.09
2020-09-01,1.0285
2020-10-01,0.7759
2020-11-01,0.6906
2020-12-01,0.6189
2021-01-01,0.6644
2021-02-01,0.5929
2021-03-01,0.5577
2021-04-01,0.5062
2021-05-01,0.6641
2021-06-01,0.9206
2021-07-01,0.7924
2021-08-01,0.8452
2021-09-01,1.2422
2021-10-01,1.7906
2021-11-01,2.3431
2021-12-01,2.8714
2022-01-01,3.5743
2022-02-01,4.1679
2022-03-01,4.553
2022-04-01,5.3908
2022-05-01,6.1156
2022-06-01,6.5066
2022-07-01,7.1747
2022-08-01,7.8556
2022-09-01,7.9938
2022-10-01,8.2644
2022-11-01,8.4504
2022-12-01,8.7459
2023-01-01,9.4381
2023-02-01,9.4919
2023-03-01,9.0567
2023-04-01,9.0685
2023-05-01,9.1889
2023-06-01,9.3105
2023-07-01,9.244
2023-08-01,9.041
2023-09-01,8.8215
2023-10-01,8.3505
2023-11-01,7.9954
2023-12-01,7.656
2024-01-01,7.294
2024-02-01,6.8902
2024-03-01,6.5961
2024-04-01,6.4786
2024-05-01,6.3612
2024-06-01,6.238
2024-07-01,5.9434
2024-08-01,5.736
2024-09-01,5.5418
2024-10-01,5.5019
2024-11-01,5.4011
2024-12-01,5.1856
2025-01-01,5.0934
2025-02-01,5.0581
2025-03-01,4.9808
2025-04-01,5.1185
2025-05-01,5.0515
2025-06-01,4.9998
2025-07-01,5.0848
2025-08-01,5.0419
2025-09-01,4.9333
2025-10-01,4.8992
2025-11-01,4.8408
2025-12-01,4.7816
