fecha,saldo_corporativos
2011-01-01,14150.3921269692
2011-02-01,13902.5720477248
2011-03-01,13887.0879126206
2011-04-01,13803.9439053568
2011-05-01,13728.9247158523
2011-06-01,13622.903184683
2011-07-01,13530.6812762694
2011-08-01,13369.2025433705
2011-09-01,13459.7055662834
2011-10-01,13541.5767315952
2011-11-01,13492.4101552576
2011-12-01,13764.6512867794
2012-01-01,13703.0788557551
2012-02-01,13781.3721322461
2012-03-01,13608.7734890453
2012-04-01,13628.6616912462
2012-05-01,13931.2918349636
2012-06-01,13894.1874411945
2012-07-01,14005.087591844
2012-08-01,14059.6972803434
2012-09-01,13853.4215860276
2012-10-01,14228.6331172596
2012-11-01,14338.337165235
2012-12-01,13345.0102403209
2013-01-01,13293.1844065593
2013-02-01,13314.803715735
2013-03-01,13359.0851295588
2013-04-01,13224.7916132158
2013-05-01,12186.9842748094
2013-06-01,12061.6357858634
2013-07-01,12064.2797320217
2013-08-01,12141.4821423738
2013-09-01,11855.9894203592
2013-10-01,11898.0041896369
2013-11-01,11992.6057189323
2013-12-01,11995.4154476574
2014-01-01,11700.3130084365
2014-02-01,11790.4579980896
2014-03-01,11726.4491539943
2014-04-01,11648.3461440413
2014-05-01,11475.4473639688
2014-06-01,11524.1410231342
2014-07-01,11498.5503675576
2014-08-01,11451.8813990455
2014-09-01,11716.7245190746
2014-10-01,11436.4024763789
2014-11-01,11264.3198217385
2014-12-01,11448.2052176196
2015-01-01,12179.415824247
2015-02-01,12471.4517853446
2015-03-01,12315.0292370864
2015-04-01,12235.2551128275
2015-05-01,12698.9549459906
2015-06-01,12753.989934606
2015-07-01,13370.7302277637
2015-08-01,13350.5628634169
2015-09-01,13457.0517234928
2015-10-01,13491.0777280672
2015-11-01,13507.0606854912
2015-12-01,13833.9695110246
2016-01-01,13866.0424978752
2016-02-01,13856.8886402277
2016-03-01,13985.2072273206
2016-04-01,14248.5400187664
2016-05-01,14367.5998650673
2016-06-01,14988.7628417275
2016-07-01,15258.9093389097
2016-08-01,15530.2693018978
2016-09-01,15569.4678981599
2016-10-01,15966.8321005414
2016-11-01,16054.8343674033
2016-12-01,15874.2581934769
2017-01-01,15719.2808908773
2017-02-01,15670.7188311475
2017-03-01,16101.800941203
2017-04-01,16213.2199804342
2017-05-01,16107.1324216797
2017-06-01,16458.5881235656
2017-07-01,16522.8777035687
2017-08-01,16446.0623563894
2017-09-01,16965.7793944896
2017-10-01,16666.6009197258
2017-11-01,17101.0709604648
2017-12-01,17103.9654016948
2018-01-01,16627.5289729623
2018-02-01,16789.911162543
2018-03-01,16370.6293550029
2018-04-01,16473.1068971896
2018-05-01,16592.5652778966
2018-06-01,16850.0310915699
2018-07-01,17370.8293495625
2018-08-01,17338.7470473477
2018-09-01,17322.9193373345
2018-10-01,17779.8260228376
2018-11-01,18081.8123521397
2018-12-01,17777.6299534362
2019-01-01,17704.8602682288
2019-02-01,18172.209324541
2019-03-01,18230.098590904
2019-04-01,17722.4174882882
2019-05-01,17747.8653775391
2019-06-01,17454.3490317829
2019-07-01,17737.0077600544
2019-08-01,17778.4402286562
2019-09-01,17931.1759355987
2019-10-01,18202.0622570791
2019-11-01,18295.3726501121
2019-12-01,18144.9529859186
2020-01-01,17653.6311014306
2020-02-01,17693.0905262704
2020-03-01,17606.5399230548
2020-04-01,17536.0739540471
2020-05-01,17511.6241074512
2020-06-01,17384.4056304415
2020-07-01,17361.8464702455
2020-08-01,17118.6166558833
2020-09-01,17072.1049847546
2020-10-01,17038.8505853663
2020-11-01,16594.2834297679
2020-12-01,16805.3496916662
2021-01-01,16757.2621465784
2021-02-01,16718.5919294077
2021-03-01,16663.6674792627
2021-04-01,16630.6909680096
2021-05-01,16524.3200576514
2021-06-01,16111.2416321745
2021-07-01,15817.6166983684
2021-08-01,15783.9346198533
2021-09-01,15662.5151315959
2021-10-01,15488.482946213
2021-11-01,15277.8056257235
2021-12-01,15016.1629380279
2022-01-01,14950.1020099059
2022-02-01,14864.1525519803
2022-03-01,14701.0081089488
2022-04-01,14667.940209806
2022-05-01,14449.5904301786
2022-06-01,14472.4750224672
2022-07-01,14115.9315974223
2022-08-01,13848.3965835838
2022-09-01,13774.2898128912
2022-10-01,13298.6875660428
2022-11-01,12848.3452696378
2022-12-01,12836.9170856539
2023-01-01,12816.0718134113
2023-02-01,12531.4944874052
2023-03-01,12316.1864207315
2023-04-01,12011.5655862416
2023-05-01,11949.5372385756
2023-06-01,11609.8752372674
2023-07-01,11376.7369060458
2023-08-01,11308.2622041387
2023-09-01,11317.1858458267
2023-10-01,11248.9220776787
2023-11-01,11213.2369748787
2023-12-01,11327.751283706
2024-01-01,11332.8820605893
2024-02-01,11152.8651702971
2024-03-01,11115.0905799904
2024-04-01,10977.7741776237
2024-05-01,10959.2431270024
2024-06-01,10767.2291421688
2024-07-01,10708.3453168213
2024-08-01,10694.1426242753
2024-09-01,10571.183758234
2024-10-01,10245.3721785579
2024-11-01,10164.2545021638
2024-12-01,10173.1871789953
2025-01-01,10127.5915782984
2025-02-01,10118.3624899182
2025-03-01,10091.9737894426
2025-04-01,9962.28886481537
2025-05-01,9897.28519867308
2025-06-01,9814.91853108529
2025-07-01,9598.0429199612
2025-08-01,9578.6182582157
2025-09-01,9463.86800620784
2025-10-01,9390.68446682204
2025-11-01,9233.41811470939
2025-12-01,9226.84717627117
