fecha,saldo_plazo_3a_5a
2011-01-01,3638.65349023792
2011-02-01,3533.23605811922
2011-03-01,3511.96267779347
2011-04-01,3508.5035870947
2011-05-01,3516.9416891867
2011-06-01,3412.31397920721
2011-07-01,3305.56561282868
2011-08-01,3193.21259318276
2011-09-01,3199.53172694167
2011-10-01,3362.62226828456
2011-11-01,3239.62529111438
2011-12-01,3204.54936949699
2012-01-01,3200.80050194665
2012-02-01,3352.44838629626
2012-03-01,3173.11232061254
2012-04-01,3135.99800823543
2012-05-01,3268.39731877037
2012-06-01,3344.2814052447
2012-07-01,3539.28952601317
2012-08-01,3523.76785238881
2012-09-01,3458.53857723782
2012-10-01,3280.73898799435
2012-11-01,3232.87917584067
2012-12-01,3317.46454500038
2013-01-01,3284.11530427923
2013-02-01,3306.59503451962
2013-03-01,3281.42572954962
2013-04-01,3007.63060440538
2013-05-01,2901.71959187
2013-06-01,2845.78998826923
2013-07-01,2952.94822052885
2013-08-01,3016.38495091346
2013-09-01,2892.47355137154
2013-10-01,3101.50645483308
2013-11-01,3077.53968460538
2013-12-01,3071.12497869338
2014-01-01,3066.99385328028
2014-02-01,3134.22918446262
2014-03-01,3158.63593862685
2014-04-01,3019.25878156954
2014-05-01,2892.10547481677
2014-06-01,2846.36015421785
2014-07-01,2818.53018498708
2014-08-01,2793.79623048689
2014-09-01,2630.28751653396
2014-10-01,2369.82732808169
2014-11-01,2149.81732808169
2014-12-01,2203.45027238678
2015-01-01,2252.276712974
2015-02-01,2398.59082127114
2015-03-01,2387.88815665885
2015-04-01,2413.87010842304
2015-05-01,2698.73188326415
2015-06-01,2883.36595131036
2015-07-01,3029.0218787399
2015-08-01,3040.97526973373
2015-09-01,3023.1701497174
2015-10-01,3039.80371529097
2015-11-01,3014.8635045179
2015-12-01,2940.9793735505
2016-01-01,2955.0495666335
2016-02-01,2966.774727536
2016-03-01,2908.9893339872
2016-04-01,2879.2611517952
2016-05-01,2879.5450797408
2016-06-01,2997.99996022563
2016-07-01,2832.51367710987
2016-08-01,2837.73098434597
2016-09-01,2826.089200522
2016-10-01,2650.06062953547
2016-11-01,2583.14817660197
2016-12-01,2483.67284042613
2017-01-01,2370.5651331144
2017-02-01,2211.00820628647
2017-03-01,2281.04977324
2017-04-01,2306.00129619413
2017-05-01,2208.9928939984
2017-06-01,2146.52462026
2017-07-01,2271.7602706592
2017-08-01,2271.7602706592
2017-09-01,2368.5341789517
2017-10-01,2237.9827390575
2017-11-01,2368.5588366633
2017-12-01,2303.2181805364
2018-01-01,2293.8445016442
2018-02-01,2268.9318594286
2018-03-01,2276.9023580532
2018-04-01,2273.86037873
2018-05-01,2271.7648469068
2018-06-01,2092.5702569068
2018-07-01,2188.1702569068
2018-08-01,2271.209049172
2018-09-01,2256.79315
2018-10-01,2289.5624725
2018-11-01,2240.678565
2018-12-01,2120.52817875
2019-01-01,2048.0581499
2019-02-01,2008.71357115
2019-03-01,2002.92419615
2019-04-01,2055.35401919
2019-05-01,2051.68093419
2019-06-01,1946.05381044
2019-07-01,1871.78884794
2019-08-01,1844.54044169
2019-09-01,1838.42195169
2019-10-01,1826.21967919
2019-11-01,1836.85119169
2019-12-01,1908.87466544
2020-01-01,1995.25624
2020-02-01,1966.5246
2020-03-01,1976.16412
2020-04-01,1960.52899
2020-05-01,1927.57764
2020-06-01,1905.81192
2020-07-01,1898.12844
2020-08-01,1898.93192
2020-09-01,1900.3778
2020-10-01,1853.761775
2020-11-01,1853.761775
2020-12-01,1972.6308
2021-01-01,1973.9376
2021-02-01,2006.9738
2021-03-01,1959.473125
2021-04-01,1917.281229
2021-05-01,1919.249682
2021-06-01,1722.367036
2021-07-01,1547.62224875
2021-08-01,1546.492394
2021-09-01,1531.7481545
2021-10-01,1496.99723125
2021-11-01,1396.7593625
2021-12-01,1389.11780875
2022-01-01,1384.14448
2022-02-01,1381.08397
2022-03-01,1273.38468375
2022-04-01,1256.76978625
2022-05-01,1191.4078875
2022-06-01,1191.6749675
2022-07-01,1055.67693
2022-08-01,1045.22256
2022-09-01,946.0833825
2022-10-01,923.5953295
2022-11-01,918.67136875
2022-12-01,904.93307125
2023-01-01,880.304675
2023-02-01,879.0189
2023-03-01,869.08566
2023-04-01,772.0332975
2023-05-01,771.33288
2023-06-01,765.1742675
2023-07-01,664.7348225
2023-08-01,593.0276025
2023-09-01,591.9085775
2023-10-01,581.52168
2023-11-01,575.093355
2023-12-01,572.2681075
2024-01-01,573.73135
2024-02-01,591.799665
2024-03-01,588.20721
2024-04-01,586.43625
2024-05-01,586.23762
2024-06-01,585.63154
2024-07-01,583.51536
2024-08-01,577.693125
2024-09-01,574.673115
2024-10-01,683.2888425
2024-11-01,682.9634375
2024-12-01,684.3825925
2025-01-01,683.60033
2025-02-01,676.6946
2025-03-01,673.302675
2025-04-01,673.302675
2025-05-01,672.780575
2025-06-01,696.38585
2025-07-01,697.388475
2025-08-01,696.185325
2025-09-01,622.910585
2025-10-01,620.965035
2025-11-01,618.63268
2025-12-01,472.29708
