id,instrumento,periodo,Y_log_volumen,X1_tasa_referencia,X2_prima_plazo,X3_riesgo_pais
1,Arrendamiento financiero,2011-01,2.6979998652487085,3.25,2.5962857142857096,1.4557143
2,Arrendamiento financiero,2011-02,0.0,3.5,2.51595,1.461
3,Arrendamiento financiero,2011-03,3.65914163584998,3.75,2.60333612040134,1.5678261
4,Arrendamiento financiero,2011-04,0.0,4.0,2.94410092633545,1.9290476
5,Arrendamiento financiero,2011-05,0.0,4.25,2.4725020222856697,1.8722727
6,Arrendamiento financiero,2011-06,2.060195009733972,4.25,2.20763825900731,1.9236364
7,Arrendamiento financiero,2011-07,3.1986012782356057,4.25,1.98626241920591,1.7085714
8,Arrendamiento financiero,2011-08,0.0,4.25,1.67853521749067,1.9956522
9,Arrendamiento financiero,2011-09,2.0275388511218355,4.25,1.37017803787122,2.3745455
10,Arrendamiento financiero,2011-10,0.0,4.25,1.4748322210866904,2.3195238
11,Arrendamiento financiero,2011-11,3.332204510175204,4.25,1.4173432296186803,2.1418182
12,Arrendamiento financiero,2011-12,3.182821613053754,4.25,1.4453293398377005,2.1631818000000003
13,Arrendamiento financiero,2012-01,0.0,4.25,1.4377609398031002,2.1940909
14,Arrendamiento financiero,2012-02,1.9765224876719945,4.25,1.3020364322611204,1.992381
15,Arrendamiento financiero,2012-03,0.0,4.25,1.1574619276424896,1.6559091
16,Arrendamiento financiero,2012-04,2.738209470276588,4.25,1.0670918414560804,1.6414286000000002
17,Arrendamiento financiero,2012-05,0.0,4.25,0.9111689535072998,1.8052174
18,Arrendamiento financiero,2012-06,0.0,4.25,0.89383563093637,1.8842857
19,Arrendamiento financiero,2012-07,1.6105353100729884,4.25,0.7735416666666701,1.6259091
20,Arrendamiento financiero,2012-08,0.0,4.25,0.6041943748259504,1.3313043
21,Arrendamiento financiero,2012-09,2.16644458530141,4.25,0.4265961820586801,1.24
22,Arrendamiento financiero,2012-10,2.1795719038987293,4.25,0.3036367424242403,1.0804348
23,Arrendamiento financiero,2012-11,0.0,4.25,0.2098128345221104,1.2295455
24,Arrendamiento financiero,2012-12,2.375491629427106,4.25,-0.0866843834270296,1.1719048
25,Arrendamiento financiero,2013-01,0.0,4.25,-0.1824953020464397,1.1004348
26,Arrendamiento financiero,2013-02,2.9667076036383744,4.25,-0.0980923588164497,1.2705
27,Arrendamiento financiero,2013-03,0.0,4.25,-0.1016138581228096,1.4028571
28,Arrendamiento financiero,2013-04,0.0,4.25,-0.1936594806224603,1.3254545
29,Arrendamiento financiero,2013-05,4.354146058422997,4.25,-0.0481818181818196,1.3373913
30,Arrendamiento financiero,2013-06,0.0,4.25,1.0694671626005103,1.798
31,Arrendamiento financiero,2013-07,0.0,4.25,1.0101522889957204,1.7569565
32,Arrendamiento financiero,2013-08,3.9431340004531994,4.25,1.2127125966726604,1.9054545
33,Arrendamiento financiero,2013-09,0.0,4.25,1.35047619047619,1.8338095
34,Arrendamiento financiero,2013-10,2.196274125800224,4.25,1.06727272727273,1.7286957
35,Arrendamiento financiero,2013-11,3.7936808134730127,4.0,1.4669999999999996,1.8342857
36,Arrendamiento financiero,2013-12,0.0,4.0,1.6055,1.7654545
37,Arrendamiento financiero,2014-01,3.4339872044851463,4.0,1.7199999999999998,1.76
38,Arrendamiento financiero,2014-02,0.0,4.0,2.4255000000000004,1.8225
39,Arrendamiento financiero,2014-03,3.370738174177447,4.0,2.16490476190476,1.672381
40,Arrendamiento financiero,2014-04,0.0,4.0,1.951,1.5354545
41,Arrendamiento financiero,2014-05,5.303304908059076,4.0,1.6409523809523805,1.4940909
42,Arrendamiento financiero,2014-06,0.0,4.0,1.3723809523809498,1.4542857
43,Arrendamiento financiero,2014-07,3.9318256327243257,3.75,1.4269999999999996,1.4634782999999998
44,Arrendamiento financiero,2014-08,3.044522437723423,3.75,1.44790476190476,1.5728571
45,Arrendamiento financiero,2014-09,0.0,3.5,1.8354545454545503,1.4968182
46,Arrendamiento financiero,2014-10,0.0,3.5,1.8599545454545403,1.7026087
47,Arrendamiento financiero,2014-11,0.0,3.5,1.93935,1.6535
48,Arrendamiento financiero,2014-12,0.0,3.5,1.8597142857142896,1.8191304
49,Arrendamiento financiero,2015-01,0.0,3.25,2.0466,2.0122727
50,Arrendamiento financiero,2015-02,0.0,3.25,2.0355,1.8285
51,Arrendamiento financiero,2015-03,0.0,3.25,2.27668181818182,1.8445455
52,Arrendamiento financiero,2015-04,0.0,3.25,2.2880909090909096,1.7695455000000002
53,Arrendamiento financiero,2015-05,3.484312288372662,3.25,2.6519000000000004,1.6590476
54,Arrendamiento financiero,2015-06,0.0,3.25,2.9216666666666704,1.765
55,Arrendamiento financiero,2015-07,0.0,3.25,3.2216500000000003,1.8669565
56,Arrendamiento financiero,2015-08,0.0,3.25,3.4131904761904703,2.1747619
57,Arrendamiento financiero,2015-09,4.298794471089057,3.5,3.73577272727273,2.3427273
58,Arrendamiento financiero,2015-10,0.0,3.5,3.5107272727272703,2.2590909
59,Arrendamiento financiero,2015-11,0.0,3.5,3.1926190476190497,2.1890476000000003
60,Arrendamiento financiero,2015-12,0.0,3.75,2.95786363636364,2.3665217000000003
61,Arrendamiento financiero,2016-01,0.0,4.0,3.02015,2.6705
62,Arrendamiento financiero,2016-02,0.0,4.25,3.09585714285714,2.8238095
63,Arrendamiento financiero,2016-03,3.070040261417523,4.25,2.889,2.2682609
64,Arrendamiento financiero,2016-04,0.0,4.25,2.29485714285714,2.1004762
65,Arrendamiento financiero,2016-05,0.0,4.25,2.0158181818181804,2.0795455
66,Arrendamiento financiero,2016-06,0.0,4.25,1.83436363636364,2.0990909
67,Arrendamiento financiero,2016-07,2.6298839539970444,4.25,1.5065238095238105,1.8419048
68,Arrendamiento financiero,2016-08,0.0,4.25,1.3861739130434805,1.696087
