Fecha,Bonos (millones S/) - Sector Privado - Bonos de Entidades No Financieras - Bonos Corporativos - Colocación
Ene02,96
Feb02,119
Mar02,17
Abr02,90
May02,47
Jun02,0
Jul02,9
Ago02,235
Sep02,0
Oct02,65
Nov02,123
Dic02,95
Ene03,10
Feb03,209
Mar03,249
Abr03,313
May03,88
Jun03,396
Jul03,191
Ago03,122
Sep03,194
Oct03,102
Nov03,311
Dic03,310
Ene04,137
Feb04,117
Mar04,0
Abr04,172
May04,0
Jun04,215
Jul04,108
Ago04,1046
Sep04,0
Oct04,50
Nov04,124
Dic04,38
Ene05,68
Feb05,50
Mar05,148
Abr05,405
May05,330
Jun05,60
Jul05,49
Ago05,360
Sep05,50
Oct05,79
Nov05,211
Dic05,51
Ene06,185
Feb06,365
Mar06,39
Abr06,463
May06,55
Jun06,0
Jul06,461
Ago06,117
Sep06,138
Oct06,511
Nov06,288
Dic06,107
Ene07,152
Feb07,121
Mar07,307
Abr07,248
May07,48
Jun07,85
Jul07,188
Ago07,60
Sep07,101
Oct07,420
Nov07,286
Dic07,256
Ene08,59
Feb08,40
Mar08,154
Abr08,256
May08,108
Jun08,235
Jul08,127
Ago08,0
Sep08,73
Oct08,0
Nov08,30
Dic08,61
Ene09,125
Feb09,81
Mar09,50
Abr09,313
May09,231
Jun09,227
Jul09,66
Ago09,0
Sep09,397
Oct09,232
Nov09,1186
Dic09,87
Ene10,129
Feb10,0
Mar10,0
Abr10,567
May10,143
Jun10,201
Jul10,351
Ago10,132
Sep10,88
Oct10,140
Nov10,42
Dic10,163
Ene11,181
Feb11,0
Mar11,60
Abr11,0
May11,102
Jun11,0
Jul11,50
Ago11,0
Sep11,0
Oct11,187
Nov11,95
Dic11,0
Ene12,0
Feb12,188
Mar12,0
Abr12,40
May12,110
Jun12,0
Jul12,66
Ago12,140
Sep12,0
Oct12,511
Nov12,144
Dic12,77
Ene13,50
Feb13,103
Mar13,120
Abr13,50
May13,0
Jun13,0
Jul13,0
Ago13,98
Sep13,0
Oct13,83
Nov13,110
Dic13,143
Ene14,0
Feb14,85
Mar14,0
Abr14,220
May14,0
Jun14,299
Jul14,56
Ago14,0
Sep14,422
Oct14,0
Nov14,0
Dic14,116
Ene15,561
Feb15,290
Mar15,0
Abr15,0
May15,502
Jun15,153
Jul15,533
Ago15,0
Sep15,151
Oct15,0
Nov15,0
Dic15,364
Ene16,4
Feb16,0
Mar16,340
Abr16,0
May16,130
Jun16,513
Jul16,436
Ago16,296
Sep16,0
Oct16,712
Nov16,0
Dic16,0
Ene17,0
Feb17,162
Mar17,400
Abr17,372
May17,0
Jun17,554
Jul17,282
Ago17,0
Sep17,560
Oct17,135
Nov17,134
Dic17,183
Ene18,0
Feb18,200
Mar18,100
Abr18,107
May18,133
Jun18,252
Jul18,551
Ago18,0
Sep18,0
Oct18,487
Nov18,300
Dic18,0
Ene19,570
Feb19,0
Mar19,0
Abr19,83
May19,130
Jun19,0
Jul19,240
Ago19,6
Sep19,343
Oct19,171
Nov19,182
Dic19,20
Ene20,0
Feb20,33
Mar20,14
Abr20,0
May20,3
Jun20,0
Jul20,1
Ago20,0
Sep20,0
Oct20,0
Nov20,0
Dic20,298
Ene21,0
Feb21,0
Mar21,0
Abr21,108
May21,0
Jun21,0
Jul21,0
Ago21,0
Sep21,0
Oct21,0
Nov21,0
Dic21,19
Ene22,0
Feb22,0
Mar22,10
Abr22,0
May22,0
Jun22,0
Jul22,0
Ago22,0
Sep22,0
Oct22,0
Nov22,0
Dic22,0
Ene23,0
Feb23,0
Mar23,0
Abr23,0
May23,0
Jun23,0
Jul23,0
Ago23,0
Sep23,0
Oct23,0
Nov23,0
Dic23,175
Ene24,0
Feb24,0
Mar24,0
Abr24,0
May24,0
Jun24,0
Jul24,0
Ago24,0
Sep24,0
Oct24,110
Nov24,0
Dic24,101
Ene25,2
Feb25,2
Mar25,0
Abr25,0
May25,0
Jun25,0
Jul25,0
Ago25,0
Sep25,0
Oct25,0
Nov25,0
Dic25,220
Ene26,0
Feb26,280
Mar26,0
Abr26,0
May26,0
Jun26,0
Jul26,0
Ago26,0
